;04;31a;b1f4;
d9;30c;34e;1098;
db;30b;34a;163c;
df;30c;349;1be0;
e2;30b;344;2184;
e4;309;341;272c;
e3;30a;33f;2cd0;
e5;309;33f;3274;
e5;307;33f;3820;
e4;307;33b;3dc0;
e3;307;337;4364;
e2;306;336;4908;
e1;305;333;4eac;
de;305;332;5454;
db;306;32f;59f8;
d8;307;32b;5f9c;
d4;305;32c;6540;
d0;309;326;6ae8;
cb;306;322;708c;
c6;308;321;7630;
c1;309;321;7bd4;
ba;304;31f;817c;
b4;307;31b;8720;
ad;305;31d;8cc4;
a7;306;31b;9268;
a0;305;31b;9814;
99;306;318;9db4;
92;304;319;a358;
8b;306;31b;a8fc;
83;307;319;aea4;
7c;308;31b;b448;
75;304;31a;b9ec;
6d;307;31a;bf90;
65;304;31d;c538;
5e;307;31b;cadc;
58;306;31a;d080;
51;306;31a;d624;
4a;303;31e;dbcc;
44;306;31e;e170;
3e;30e;321;e714;
38;30a;31e;ecb8;
34;30b;325;f260;
2e;30f;321;f808;
29;313;327;fda8;
26;313;328;34c;
22;314;32a;89c;
20;31a;331;dec;
1d;31b;331;133c;
1b;320;330;18e4;
1a;321;334;1e88;
19;326;334;242c;
19;32a;338;29d0;
19;328;33f;2f78;
19;330;33c;351c;
19;32e;33b;3ac0;
1d;330;343;4064;
1f;333;343;460c;
21;332;345;4bb0;
25;335;349;5154;
28;338;34a;56f8;
2c;334;349;5ca0;
31;331;34b;6244;
36;333;34b;67e8;
3b;332;34f;6d8c;
42;333;34f;7334;
47;335;354;78d8;
4d;334;351;7e7c;
54;333;353;8420;
5c;331;354;89c8;
62;330;356;8f6c;
6a;32c;356;9510;
71;32a;358;9ab4;
77;32c;357;a05c;
80;329;357;a600;
87;325;356;aba4;
8e;326;354;b148;
96;324;359;b6f0;
9d;322;358;bc94;
a4;31e;355;c238;
ab;31c;355;c7dc;
b1;316;353;cd84;
b7;316;354;d328;
be;314;354;d8cc;
c3;312;352;de70;
c8;312;34f;e41c;
cd;311;351;e9bc;
d2;30b;34d;ef60;
d7;30c;34d;f504;
d9;30a;34a;faac;
de;30a;349;50;
e0;308;345;54c;
e1;309;348;a9c;
e3;306;344;fec;
e4;308;340;153c;
e6;305;33c;1ae0;
e6;309;33f;2084;
e5;306;33a;2628;
e5;306;335;2bd0;
e2;308;335;3174;
e1;306;334;3718;
de;306;32e;3cbc;
db;304;32e;4264;
d8;307;32b;480c;
d4;308;32a;4dac;
d0;306;327;5350;
cb;306;326;58f8;
c6;304;31f;5e9c;
c0;303;324;6440;
ba;307;31e;69e4;
b3;307;320;6f8c;
ae;308;31d;7530;
a6;307;31b;7ad4;
9f;305;31d;8078;
98;306;31c;8620;
92;305;31a;8bc4;
8a;307;318;9168;
82;303;31b;970c;
7b;309;31b;9cb4;
74;306;319;a258;
6d;307;31a;a7fc;
66;304;31c;ada0;
5e;307;31b;b348;
57;304;31b;b8ec;
51;303;31c;be90;
4a;306;320;c434;
43;305;31f;c9dc;
3e;309;321;cf80;
38;308;322;d524;
33;30c;325;dac8;
2f;30d;325;e070;
29;30f;325;e614;
26;311;327;ebb8;
22;316;32d;f15c;
1f;31b;32e;f704;
1e;31d;332;fca8;
1b;321;331;24c;
1a;326;331;79c;
19;327;334;cec;
19;329;335;123c;
19;32b;338;17e0;
19;32c;33b;1d88;
1a;32f;340;232c;
1c;330;33f;28d0;
1e;333;343;2e74;
22;333;345;3420;
25;335;344;39c0;
29;333;348;3f64;
2c;333;34b;4508;
31;339;34b;4ab0;
36;335;34f;5054;
3c;333;34f;55f8;
41;336;34f;5b9c;
48;334;34e;6144;
4e;334;357;66e8;
54;331;355;6c8c;
5b;332;356;7230;
63;330;353;77d8;
6a;32f;355;7d7c;
71;32e;357;8320;
79;329;358;88c4;
80;32a;359;8e6c;
87;324;356;9414;
8f;324;356;99b4;
96;322;350;9f58;
9d;31f;358;a500;
a5;31d;358;aaa4;
ab;31a;353;b048;
b2;315;356;b5ec;
b7;316;353;bb94;
bd;312;353;c138;
c3;313;351;c6dc;
c9;30e;353;cc80;
ce;30d;34f;d228;
d3;30f;34d;d7cc;
d5;309;34c;dd70;
d9;30d;34b;e314;
dd;309;349;e8bc;
e0;30a;346;ee60;
e3;309;346;f40c;
e2;308;344;f9a8;
e5;308;342;ff50;
e5;308;33d;4f4;
e5;309;33a;a44;
e5;308;33a;f94;
e4;308;336;14e4;
e2;306;335;1a88;
e1;30a;330;202c;
de;306;333;25d4;
db;306;32e;2b78;
d8;308;32c;311c;
d3;30a;328;36c0;
cf;306;326;3c68;
ca;309;326;420c;
c4;307;321;47b0;
bf;308;321;4d54;
b9;306;31d;52fc;
b2;306;31b;58a0;
ab;304;31b;5e44;
a5;306;320;63e8;
9f;307;31c;6990;
98;306;317;6f34;
90;306;31a;74d8;
89;306;318;7a7c;
82;303;319;8024;
79;304;31b;85c8;
73;306;31d;8b6c;
6b;306;31b;9110;
64;307;31a;96b8;
5d;307;31b;9c5c;
56;308;31e;a200;
4f;307;31c;a7a4;
49;30a;320;ad4c;
43;309;31e;b2f0;
3d;30b;320;b894;
38;30e;321;be38;
32;30a;324;c3e0;
2d;30f;327;c984;
29;311;326;cf28;
26;314;328;d4cc;
22;317;32d;da74;
1f;31a;32e;e01c;
1c;31a;32e;e5bc;
1a;321;332;eb60;
19;324;333;f108;
1a;324;337;f6ac;
18;328;339;fc50;
18;32c;338;1f4;
1a;32d;33d;744;
1b;32e;33f;c94;
1d;332;340;11e4;
20;32f;340;178c;
22;333;346;1d30;
25;332;345;22d4;
29;334;347;2878;
2d;333;349;2e20;
31;333;34d;33c4;
37;334;34e;3968;
3d;333;34d;3f0c;
42;333;34f;44b4;
48;334;352;4a58;
4f;334;352;4ffc;
56;334;353;55a0;
5b;32f;353;5b48;
64;333;357;60ec;
6a;32e;355;6690;
72;330;356;6c34;
7a;32c;355;71dc;
81;328;355;7780;
88;325;357;7d24;
8f;324;35a;82c8;
97;321;355;8870;
9e;31b;355;8e14;
a6;31e;358;93b8;
ab;319;355;995c;
b3;315;355;9f04;
b9;312;356;a4a8;
bf;312;353;aa4c;
c4;311;354;aff0;
c9;30f;352;b598;
ce;30f;34e;bb3c;
d3;30c;34f;c0e0;
d7;30e;34c;c684;
d9;309;34a;cc2c;
de;30a;349;d1d0;
df;30a;346;d774;
e2;30a;344;dd18;
e4;309;346;e2c0;
e5;306;33f;e864;
e6;308;33b;ee08;
e5;307;33c;f3ac;
e4;307;338;f954;
e4;305;331;fef8;
e2;307;335;49c;
df;306;32f;9ec;
dd;306;330;f3c;
db;305;32d;148c;
d7;305;32a;1a30;
d2;304;328;1fd8;
cd;307;325;257c;
ca;306;326;2b20;
c4;306;322;30c4;
bf;304;320;366c;
b8;308;31b;3c14;
b1;306;31a;41b4;
ab;305;31d;4758;
a4;308;31c;4d00;
9d;305;317;52a4;
95;308;31a;5848;
8f;303;31b;5dec;
87;305;31c;6394;
80;305;319;6938;
78;306;319;6edc;
71;306;31a;7480;
6a;305;31b;7a28;
63;306;31c;7fcc;
5b;306;319;8570;
54;301;31d;8b14;
4f;307;31d;90bc;
48;308;31b;9660;
42;307;320;9c0c;
3b;306;321;a1a8;
36;30d;321;a750;
31;30d;321;acf4;
2d;30f;326;b298;
29;312;328;b83c;
25;313;32a;bde4;
21;31a;32b;c388;
1f;31c;32d;c92c;
1c;320;32f;ced0;
1b;322;332;d478;
19;325;332;da1c;
19;328;337;dfc0;
19;32a;33a;e564;
19;32d;337;eb0c;
19;32c;341;f0b0;
1c;331;341;f654;
1e;330;33f;fbf8;
20;332;345;1a0;
23;334;343;6f0;
25;335;347;c40;
2a;331;349;1190;
2d;333;34c;1734;
33;336;34b;1cd8;
38;332;34e;227c;
3d;333;34f;2824;
44;333;351;2dc8;
4a;331;353;336c;
4f;333;354;3910;
57;332;355;3eb8;
5e;330;355;445c;
65;32d;355;4a00;
6c;32e;353;4fa4;
73;32c;356;554c;
7a;32a;356;5af0;
82;329;355;6094;
89;326;357;6638;
91;324;358;6be0;
98;321;355;7184;
9f;320;356;7728;
a6;31c;356;7ccc;
ad;318;356;8274;
b4;316;355;881c;
b9;313;356;8dbc;
c0;30f;356;9360;
c6;315;353;9908;
ca;310;34f;9eac;
d0;311;350;a450;
d4;30d;34d;a9f4;
d8;30d;349;af9c;
dc;30b;349;b540;
de;30b;34a;bae4;
e0;307;347;c088;
e2;308;343;c630;
e4;308;343;cbd4;
e5;305;341;d178;
e6;30a;33d;d71c;
e5;309;337;dcc4;
e4;303;338;e268;
e4;307;336;e814;
e1;306;332;edb0;
de;303;330;f358;
dc;305;32d;f8fc;
d9;306;32e;fea0;
d5;305;32c;444;
d2;305;326;994;
cd;305;325;ee4;
c9;308;324;1434;
c3;306;321;19dc;
bd;308;320;1f80;
b8;305;31f;2524;
b1;306;31d;2ac8;
ab;305;31e;3070;
a3;308;31c;3614;
9d;307;319;3bb8;
96;306;319;415c;
8e;307;319;4704;
86;303;317;4ca8;
7f;303;31a;524c;
77;305;31d;57f0;
70;306;317;5d98;
69;305;31d;633c;
62;305;31b;68e0;
5a;306;319;6e84;
55;305;31c;742c;
4d;305;31e;79d0;
48;307;31d;7f74;
41;306;31f;8518;
3b;309;31f;8ac0;
36;30c;322;9064;
31;30d;327;9608;
2d;30e;328;9bac;
28;313;327;a154;
24;312;32e;a6f8;
21;319;32e;ac9c;
1e;31d;331;b240;
1c;31d;330;b7e8;
1a;322;334;bd8c;
18;325;335;c330;
19;326;336;c8d4;
19;329;339;ce7c;
19;32e;33b;d420;
1a;32d;33c;d9c4;
1c;32f;340;df68;
1d;334;341;e510;
20;331;344;eab4;
23;334;346;f058;
26;334;344;f5fc;
2b;331;34c;fba4;
30;335;34b;148;
33;334;350;698;
39;334;351;be8;
3e;335;351;1138;
43;334;351;16dc;
4a;335;352;1c80;
51;333;352;2228;
58;332;355;27cc;
5e;330;356;2d70;
65;32f;354;3314;
6d;32e;357;38bc;
74;32d;356;3e60;
7b;32a;355;440c;
84;329;355;49a8;
8a;328;359;4f50;
92;324;356;54f4;
98;322;354;5a98;
a0;31d;359;603c;
a7;31b;356;65e4;
ae;318;355;6b88;
b4;315;357;712c;
ba;313;357;76d0;
bf;312;351;7c78;
c6;311;351;821c;
cb;30b;351;87c0;
cf;309;34e;8d64;
d3;307;34f;930c;
d8;307;34d;98b0;
db;30a;348;9e54;
df;30a;349;a3f8;
e1;308;34a;a9a0;
e3;308;343;af44;
e4;307;341;b4e8;
e6;309;33d;ba8c;
e4;308;33d;c034;
e4;305;33b;c5d8;
e5;306;335;cb7c;
e3;308;335;d120;
e0;307;333;d6c8;
df;30a;331;dc6c;
dc;307;32d;e210;
d8;309;32f;e7b4;
d4;308;328;ed5c;
d0;307;325;f300;
cb;306;324;f8a4;
c6;307;324;fe48;
c2;308;322;3f0;
bc;307;321;940;
b6;308;31f;e90;
b0;307;31e;13e0;
aa;307;31d;1984;
a3;304;31b;1f28;
9b;307;319;24cc;
94;307;31a;2a74;
8d;309;318;301c;
84;308;31b;35bc;
7e;308;31b;3b60;
77;307;31b;4108;
6f;308;31d;46ac;
67;30b;31e;4c50;
61;308;31e;51f4;
5a;308;31d;579c;
53;308;31a;5d40;
4c;306;31d;62e4;
46;30a;31d;6888;
3f;308;31e;6e30;
3a;307;31f;73d4;
35;30d;31f;7978;
30;30d;321;7f1c;
2b;30e;326;84c4;
28;316;325;8a68;
24;313;329;9014;
21;319;32d;95b0;
1e;31e;32d;9b58;
1d;321;332;a0fc;
1a;320;334;a6a0;
19;325;335;ac44;
1a;327;338;b1ec;
19;32b;339;b790;
19;32a;33b;bd34;
19;32d;33e;c2d8;
1c;32f;33f;c880;
1f;332;343;ce24;
21;332;345;d3c8;
24;333;345;d96c;
28;332;348;df14;
2b;334;34b;e4b8;
30;333;34c;ea5c;
35;334;34f;f008;
3a;332;34e;f5a8;
40;333;350;fb4c;
46;334;350;f0;
4c;331;352;5ec;
52;331;354;b3c;
58;331;355;108c;
60;32d;355;1630;
67;32e;352;1bd4;
6e;32d;354;217c;
75;32c;353;2720;
7d;32a;354;2cc4;
84;329;358;3268;
8c;327;355;3814;
93;323;357;3db4;
9a;324;355;4358;
a1;31e;357;48fc;
a8;31d;356;4ea4;
af;319;355;5448;
b5;319;354;59ec;
bb;315;354;5f90;
c1;312;354;6538;
c7;312;350;6adc;
cc;30e;350;7080;
d0;30f;34d;7624;
d4;30d;34c;7bcc;
d8;30a;34b;8170;
dc;30b;34a;8714;
df;30a;348;8cb8;
e1;309;343;9260;
e3;30b;344;9808;
e4;306;341;9da8;
e5;308;33f;a34c;
e5;306;33c;a8f4;
e6;305;33b;ae98;
e4;308;336;b43c;
e2;307;334;b9e0;
e1;307;332;bf88;
de;308;330;c52c;
dc;306;32f;cad0;
d8;306;32c;d074;
d4;307;327;d61c;
cf;307;32a;dbc0;
cc;30b;324;e164;
c6;306;324;e708;
c1;305;320;ecb0;
bb;304;31d;f254;
b4;308;31c;f7f8;
ae;305;31d;fd9c;
a8;306;319;344;
a1;306;31c;894;
99;306;31e;de4;
93;307;31b;1334;
8c;305;319;18d8;
85;305;31c;1e7c;
7d;304;31a;2420;
75;306;319;29c8;
6f;308;31c;2f6c;
67;304;31b;3510;
60;306;31a;3ab4;
59;305;31c;405c;
52;305;31e;4600;
4c;306;31d;4ba4;
45;307;320;5148;
40;303;31d;56f0;
39;308;322;5c94;
34;30e;321;6238;
30;30b;326;67dc;
2a;30e;327;6d84;
27;30e;32b;7328;
24;313;32d;78cc;
20;31a;32d;7e70;
1e;31b;32f;841c;
1c;321;331;89bc;
19;324;331;8f60;
19;326;335;9504;
18;329;335;9aac;
19;32c;338;a050;
19;32d;33a;a5f4;
1b;32f;33e;ab98;
1b;334;33d;b140;
1f;332;342;b6e4;
21;333;344;bc88;
25;336;345;c22c;
29;333;346;c7d4;
2b;338;34e;cd78;
30;335;34f;d31c;
35;335;34e;d8c0;
3b;336;34e;de68;
40;333;34d;e410;
47;334;355;e9b0;
4e;333;352;ef54;
53;335;353;f4fc;
5b;331;355;faa0;
62;331;355;44;
68;32d;355;540;
6f;331;357;a90;
75;32b;356;fe0;
7d;32a;356;1530;
84;325;354;1ad4;
8b;325;359;2078;
93;322;355;2620;
9a;31f;356;2bc4;
a1;31c;356;3168;
a9;319;356;370c;
af;317;359;3cb4;
b5;316;358;4258;
bc;312;353;47fc;
c1;310;351;4da0;
c6;313;351;5348;
cc;30e;352;58ec;
d1;30d;34f;5e90;
d6;30c;34d;6434;
d9;30d;34b;69dc;
dd;30b;348;6f80;
df;30e;348;7524;
e1;308;346;7ac8;
e3;309;343;8070;
e4;307;342;8614;
e5;30a;340;8bb8;
e5;308;339;915c;
e5;304;339;9704;
e3;307;33a;9ca8;
e2;308;336;a24c;
e1;308;334;a7f0;
df;305;331;ad98;
db;307;32e;b33c;
d8;307;32f;b8e0;
d4;305;329;be84;
d0;308;32a;c42c;
cc;306;326;c9d0;
c6;309;322;cf74;
c1;305;31e;d518;
bb;30a;31f;dac0;
b4;309;31e;e064;
ae;306;31b;e608;
a7;307;31b;ebac;
a0;308;319;f154;
99;305;319;f6f8;
92;306;31c;fc9c;
8b;305;31a;240;
83;305;31c;790;
7d;306;31c;ce0;
76;305;31a;1230;
6e;30a;31b;17d8;
67;305;31d;1d7c;
60;307;31b;2320;
59;308;31a;28c4;
52;308;31d;2e6c;
4c;309;31d;3414;
45;30a;321;39b4;
3f;30c;31e;3f58;
3a;30d;31f;4500;
34;30f;323;4aa4;
2f;30c;327;5048;
2b;312;328;55ec;
27;310;327;5b94;
23;314;32b;6138;
20;316;32d;66dc;
1d;31a;32d;6c80;
1c;31c;331;7228;
1a;321;334;77cc;
19;326;333;7d70;
18;328;337;8314;
19;32b;339;88bc;
19;32d;33b;8e60;
1b;32f;33e;940c;
1c;330;344;99a8;
1e;32f;340;9f50;
22;330;346;a4f4;
25;331;345;aa98;
28;336;349;b03c;
2c;335;34a;b5e4;
30;333;350;bb88;
36;334;34c;c12c;
3b;337;350;c6d0;
41;333;34f;cc78;
46;336;353;d21c;
4d;334;354;d7c0;
55;333;354;dd64;
5b;332;356;e30c;
62;32f;353;e8b0;
69;32d;355;ee54;
70;331;357;f3f8;
77;32c;354;f9a0;
80;32c;355;ff44;
87;327;355;4e8;
8d;323;358;a38;
95;320;357;f88;
9b;31f;357;14d8;
a3;31e;356;1a7c;
aa;318;356;2024;
b0;319;354;25c8;
b6;319;355;2b6c;
bd;311;354;3110;
c2;311;353;36b8;
c8;310;355;3c5c;
cd;30e;351;4200;
d1;30c;34e;47a4;
d6;306;34d;4d4c;
da;309;34c;52f0;
dd;30b;348;5894;
de;30a;348;5e38;
e2;307;346;63e0;
e3;309;341;6984;
e4;309;342;6f28;
e5;309;340;74cc;
e5;30a;33d;7a74;
e5;306;339;801c;
e3;307;336;85bc;
e2;307;336;8b60;
e0;307;333;9108;
de;306;331;96ac;
db;307;32c;9c50;
d8;307;32e;a1f4;
d3;30a;329;a79c;
cf;307;327;ad40;
cb;307;324;b2e4;
c5;305;321;b888;
bf;307;31f;be30;
ba;306;31d;c3d4;
b3;307;31f;c978;
ac;305;31b;cf1c;
a6;305;31b;d4c4;
9f;306;31b;da68;
97;308;31b;e014;
91;307;31a;e5b0;
89;309;31c;eb58;
82;307;318;f0fc;
7b;307;31a;f6a0;
73;307;319;fc44;
6c;306;319;1ec;
65;307;31a;73c;
5f;304;31c;c8c;
57;308;31d;11dc;
50;308;31d;1780;
4b;306;31e;1d24;
44;308;31c;22c8;
3f;309;323;2870;
39;30c;321;2e14;
34;30e;323;33b8;
2f;30f;325;395c;
29;311;327;3f04;
26;314;329;44a8;
23;315;32b;4a4c;
20;319;32d;4ff0;
1d;31e;330;5598;
1c;31d;332;5b3c;
1a;322;334;60e0;
19;327;337;6684;
18;325;338;6c2c;
19;329;33a;71d0;
19;32d;33c;7774;
1b;330;33e;7d18;
1d;330;341;82c0;
1e;331;342;8864;
22;332;344;8e08;
25;332;346;93ac;
29;336;349;9954;
2c;335;34c;9ef8;
31;334;34a;a49c;
37;337;34b;aa40;
3c;335;34f;afe8;
42;336;34e;b58c;
48;336;351;bb30;
4f;331;355;c0d4;
55;333;353;c67c;
5c;331;353;cc20;
63;32c;355;d1c4;
6b;32b;356;d768;
72;32e;352;dd10;
79;32c;357;e2b4;
81;329;358;e858;
88;325;355;edfc;
90;324;358;f3a4;
97;322;356;f948;
9d;320;355;feec;
a5;31d;359;490;
ab;31c;357;9e0;
b0;315;354;f30;
b7;315;355;1480;
bc;312;352;1a28;
c3;315;351;1fcc;
c9;312;350;2570;
cc;311;352;2b14;
d1;30f;351;30bc;
d5;30c;34f;3660;
da;308;348;3c0c;
dc;30a;348;41a8;
df;309;348;4750;
e2;307;346;4cf4;
e4;309;341;5298;
e5;309;342;583c;
e5;305;33e;5de4;
e5;307;338;6388;
e5;307;339;692c;
e4;307;336;6ed0;
e3;306;335;7478;
e0;307;331;7a1c;
dd;304;330;7fc0;
db;307;32d;8564;
d7;306;32b;8b0c;
d3;303;327;90b0;
ce;307;326;9654;
c9;305;324;9bf8;
c5;306;322;a1a0;
be;307;321;a744;
b8;307;320;ace8;
b3;307;31d;b28c;
ab;306;31d;b834;
a5;307;31c;bdd8;
9e;308;31a;c37c;
97;305;31a;c920;
90;308;319;cec8;
89;307;31d;d46c;
81;307;31d;da10;
79;304;31c;dfb4;
71;305;31a;e55c;
6b;307;319;eb00;
64;305;31b;f0a4;
5d;307;31d;f648;
55;307;31d;fbf0;
4f;308;31b;194;
48;30a;31b;6e4;
43;309;31f;c34;
3d;308;31f;1184;
38;30b;322;1728;
32;30f;323;1ccc;
2e;30d;325;2274;
2a;312;323;281c;
25;314;328;2dbc;
22;315;32b;3360;
20;31a;32a;3908;
1d;31d;330;3eac;
1b;31f;331;4450;
19;322;333;49f4;
19;327;336;4f9c;
19;328;339;5540;
19;32e;33c;5ae4;
19;32e;33c;6088;
1a;32c;341;6630;
1d;331;341;6bd4;
1f;334;344;7178;
23;332;346;771c;
26;332;348;7cc4;
29;335;349;8268;
2d;335;34a;8814;
33;335;34e;8db0;
38;336;34d;9358;
3c;333;34f;98fc;
43;332;352;9ea0;
49;335;351;a444;
50;331;356;a9ec;
56;333;356;af90;
5d;332;354;b534;
64;32e;352;bad8;
6c;32e;356;c080;
72;32c;357;c624;
7a;329;356;cbc8;
81;328;355;d16c;
89;327;356;d714;
90;325;357;dcb8;
98;326;354;e25c;
9e;31f;356;e808;
a6;31b;356;eda8;
ac;319;354;f34c;
b3;317;352;f8f0;
ba;315;354;fe94;
bf;313;352;43c;
c4;30e;352;98c;
c8;310;352;edc;
ce;30f;34f;142c;
d3;30e;34d;19d0;
d6;30d;34d;1f74;
d9;30e;34c;2518;
de;30c;349;2ac0;
e0;30b;347;3064;
e2;306;346;3608;
e4;305;342;3bac;
e4;308;342;4154;
e5;306;33e;46f8;
e5;307;338;4c9c;
e4;306;337;5240;
e3;308;336;57e8;
e2;308;334;5d8c;
e0;306;332;6330;
dd;30b;330;68d4;
da;308;32f;6e7c;
d7;308;32e;7420;
d3;30a;326;79c4;
cd;30a;325;7f68;
c9;308;323;8510;
c4;306;323;8ab4;
be;307;31e;9058;
b8;307;31f;95fc;
b1;307;31b;9ba4;
ab;307;31c;a148;
a4;304;31c;a6ec;
9d;306;31c;ac90;
96;309;31a;b238;
8e;308;318;b7dc;
87;309;31b;bd80;
7f;308;317;c324;
79;307;31c;c8cc;
70;307;31b;ce70;
69;307;31a;d41c;
62;306;31e;d9b8;
5c;308;31d;df60;
53;308;31c;e504;
4e;308;31b;eaa8;
48;309;31e;f04c;
41;30c;321;f5f4;
3b;30a;322;fb98;
36;30b;323;13c;
30;30c;325;68c;
2d;312;325;bdc;
29;312;328;112c;
26;313;329;16d0;
22;315;32e;1c78;
1e;318;32c;221c;
1d;31e;331;27c0;
1b;31f;332;2d64;
1a;323;335;330c;
19;327;336;38b0;
1a;329;336;3e54;
19;328;33a;43f8;
19;32c;33d;49a0;
1b;32b;340;4f44;
1e;331;342;54e8;
1f;331;343;5a8c;
23;332;345;6034;
27;333;346;65d8;
2a;333;349;6b7c;
2e;333;34e;7120;
34;334;34e;76c8;
38;334;34d;7c6c;
3e;334;34f;8210;
43;335;352;87b4;
4a;333;352;8d5c;
50;333;351;9300;
58;32f;353;98a4;
5e;332;354;9e48;
66;32f;356;a3f0;
6d;32e;354;a994;
74;32e;359;af38;
7c;32c;359;b4dc;
83;329;354;ba84;
8a;325;357;c028;
92;323;358;c5cc;
98;320;357;cb70;
a0;320;354;d118;
a6;31c;355;d6bc;
ad;319;356;dc60;
b3;319;354;e204;
bb;312;354;e7ac;
c0;311;352;ed50;
c5;310;350;f2f4;
cb;30e;353;f898;
cf;30a;34e;fe40;
d3;30b;34d;3e4;
d8;30c;34d;934;
dc;30d;34a;e84;
dd;30b;347;13d4;
e0;30a;349;1978;
e2;30b;343;1f1c;
e4;309;343;24c4;
e5;309;341;2a68;
e5;308;33b;3014;
e6;307;33c;35b0;
e4;307;338;3b58;
e4;308;338;40fc;
e2;30b;335;46a0;
e0;307;333;4c44;
dd;309;32e;51ec;
d9;308;32e;5790;
d6;305;329;5d34;
d2;307;32a;62d8;
cc;305;325;6880;
c9;304;325;6e24;
c3;303;326;73c8;
bd;308;31f;796c;
b7;306;31d;7f14;
b1;306;320;84b8;
aa;307;31d;8a5c;
a3;308;31c;9008;
9c;309;31b;95a8;
94;307;31b;9b4c;
8d;307;31d;a0f0;
85;303;31d;a694;
7f;308;31a;ac3c;
77;304;317;b1e0;
70;305;31a;b784;
69;307;31a;bd28;
61;308;319;c2d0;
5a;305;31c;c874;
53;30a;31d;ce18;
4d;305;31e;d3bc;
46;307;31b;d964;
3f;30b;321;df08;
3b;30b;320;e4ac;
36;30a;322;ea50;
30;30e;323;eff8;
2c;310;326;f59c;
28;312;327;fb40;
24;316;329;e4;
20;316;32b;5e0;
1e;319;32f;b30;
1d;31c;32e;1080;
1b;320;335;1624;
1a;324;336;1bcc;
17;324;336;2170;
18;32b;339;2714;
18;32d;339;2cb8;
1a;32c;33e;3260;
1c;32f;340;3808;
1d;333;343;3da8;
20;332;342;434c;
22;331;344;48f4;
27;334;349;4e98;
2a;334;349;543c;
2e;333;34c;59e0;
33;336;34d;5f88;
39;334;34f;652c;
3f;333;352;6ad0;
44;336;34f;7074;
4b;333;352;761c;
51;333;358;7bc0;
57;331;356;8164;
5e;332;355;8708;
67;32e;355;8cb0;
6d;32e;355;9254;
75;32f;356;97f8;
7c;329;355;9d9c;
83;329;357;a344;
8b;326;357;a8e8;
92;324;356;ae8c;
99;325;355;b430;
a0;31b;35b;b9d8;
a7;31d;357;bf7c;
ae;317;355;c520;
b4;312;352;cac4;
ba;312;356;d06c;
c0;312;353;d610;
c6;311;354;dbb4;
cb;30c;34e;e158;
cf;30d;350;e700;
d5;30a;34e;eca4;
d8;30b;34b;f248;
db;30b;349;f7ec;
df;30b;349;fd94;
e0;307;345;338;
e3;30a;347;888;
e4;30a;340;dd8;
e4;304;343;1328;
e5;308;33d;18cc;
e5;309;33c;1e70;
e5;308;339;241c;
e3;308;335;29bc;
e1;308;332;2f60;
de;308;32f;3504;
dc;308;32f;3aac;
d9;305;32c;4050;
d5;309;328;45f4;
d2;306;326;4b98;
cc;305;324;5140;
c8;308;324;56e4;
c1;306;31e;5c88;
bd;307;320;622c;
b6;307;31e;67d4;
b0;307;31d;6d78;
aa;305;31b;731c;
a2;306;31c;78c0;
9b;307;31a;7e68;
94;304;31c;8410;
8d;306;31a;89b0;
85;307;319;8f54;
7e;308;319;94fc;
77;306;31b;9aa0;
6f;308;319;a044;
67;306;31b;a5e8;
61;30c;31b;ab90;
59;309;31c;b134;
52;306;31d;b6d8;
4c;307;31d;bc7c;
45;30a;31f;c224;
3f;307;31f;c7c8;
3b;309;321;cd6c;
35;30f;325;d310;
30;30c;326;d8b8;
2c;30f;326;de5c;
27;314;328;e408;
23;314;32a;e9a4;
21;319;32d;ef4c;
1d;31c;32b;f4f0;
1c;31c;332;fa94;
1a;31e;334;38;
1a;320;334;534;
19;325;335;a84;
19;32a;339;fd4;
19;32b;33c;1524;
1b;32e;33c;1ac8;
1b;32d;342;2070;
1e;32e;342;2614;
20;332;341;2bb8;
23;332;348;315c;
27;333;348;3704;
2b;336;349;3ca8;
2f;335;34a;424c;
34;332;34f;47f0;
38;333;350;4d98;
3e;333;34f;533c;
45;338;350;58e0;
4b;334;351;5e84;
52;333;355;642c;
58;330;354;69d0;
5e;32f;354;6f74;
67;333;354;7518;
6e;32e;355;7ac0;
74;32d;355;8064;
7c;32c;359;8608;
84;328;359;8bac;
8b;327;357;9154;
93;325;359;96f8;
9a;325;358;9c9c;
a1;320;356;a240;
a8;31c;356;a7e8;
af;318;354;ad8c;
b5;315;353;b330;
bb;313;355;b8d4;
c1;313;352;be7c;
c7;310;351;c420;
cc;310;351;c9c4;
d1;30b;34e;cf68;
d5;309;34c;d510;
d9;30b;34c;dab4;
dc;30a;34b;e058;
df;30a;347;e5fc;
e0;309;345;eba4;
e2;306;342;f148;
e4;306;341;f6ec;
e5;308;33f;fc90;
e5;30a;33c;238;
e5;308;33a;788;
e4;306;336;cd8;
e3;308;336;1228;
e1;307;333;17cc;
df;309;331;1d70;
dc;30a;32e;2314;
d9;307;330;28bc;
d5;308;32a;2e60;
d1;307;326;340c;
cc;309;327;39a8;
c7;30b;325;3f50;
c2;30a;321;44f4;
bc;307;31f;4a98;
b6;309;31e;503c;
b0;306;31c;55e4;
a9;307;31c;5b88;
a2;303;31b;612c;
9a;306;31a;66d0;
94;306;319;6c78;
8c;305;31a;721c;
85;305;31b;77c0;
7e;307;317;7d64;
75;309;319;830c;
6f;309;31a;88b0;
