d2f4;315;e700;
59;30b;32f;11d8;
57;309;32f;177c;
56;30a;330;1d24;
54;30c;333;22c8;
53;309;333;286c;
51;309;334;2e10;
50;30c;333;33b8;
4f;309;335;395c;
4e;30b;333;3f00;
4c;30e;336;44a4;
4c;30d;33a;4a4c;
4a;30c;339;4ff0;
48;30e;339;5594;
47;30e;33a;5b38;
46;30d;33b;60e0;
45;30e;338;6684;
43;311;33a;6c28;
43;311;33c;71cc;
41;310;33d;7774;
3f;314;33b;7d18;
3f;314;33d;82bc;
3e;316;33e;8860;
3d;318;341;8e08;
3b;317;344;93ac;
3b;31a;342;9950;
39;31d;345;9ef4;
38;31e;345;a49c;
37;31e;343;aa40;
37;31d;345;afe4;
36;31e;345;b588;
33;322;343;bb30;
33;31f;347;c0d4;
32;31f;347;c678;
31;326;349;cc20;
30;322;349;d1c4;
2f;321;34b;d768;
2e;324;349;dd0c;
2d;321;34b;e2b0;
2d;324;34b;e858;
2b;324;349;edfc;
2b;321;34d;f3a0;
29;323;34c;f944;
29;323;34b;feec;
28;323;34b;490;
28;324;349;9e0;
28;323;34e;f30;
26;324;34b;1480;
26;323;34c;1a24;
25;323;350;1fc8;
23;324;34d;2570;
23;322;34e;2b14;
22;321;351;30b8;
22;324;352;365c;
21;323;34f;3c08;
21;324;350;41a8;
20;321;351;474c;
20;323;352;4cf0;
1f;326;351;5298;
1f;325;351;583c;
1f;325;351;5de0;
1d;328;353;6384;
1e;326;354;692c;
1d;326;354;6ed0;
1b;328;354;7474;
1b;325;354;7a1c;
1c;328;356;7fc0;
1b;32c;355;8564;
1b;329;355;8b08;
1c;32a;359;90ac;
1b;32a;356;9654;
19;32b;356;9bf8;
1a;32a;356;a19c;
1a;32a;357;a740;
19;32c;355;ace8;
19;32b;359;b28c;
19;32b;358;b830;
19;32c;35b;bdd8;
19;32a;357;c37c;
18;32c;359;c920;
19;329;359;cec4;
19;32e;358;d46c;
18;32c;357;da10;
19;32a;358;dfb4;
18;329;35d;e558;
19;32c;358;eb00;
19;32b;359;f0a4;
19;32b;359;f648;
19;32c;358;fbec;
19;329;359;194;
19;32a;359;6e4;
1a;329;35a;c30;
18;32b;358;1180;
1a;32c;35c;1728;
19;32a;359;1ccc;
1a;32c;357;2270;
1a;32f;35b;281c;
1b;32b;359;2dbc;
1b;32c;359;3360;
1c;32c;359;3904;
1c;32c;359;3ea8;
1c;32c;359;4450;
1c;329;35a;49f4;
1d;32f;356;4f98;
1d;32c;35f;5540;
1d;32d;359;5ae4;
1e;32d;35b;6088;
1f;32c;35b;662c;
20;32b;35b;6bd0;
1f;32c;357;7178;
20;32a;359;771c;
21;32b;35c;7cc0;
21;32a;357;8264;
22;32f;357;8810;
23;32b;35c;8db0;
23;32e;359;9354;
25;32c;35a;98f8;
25;329;35a;9ea0;
25;32e;359;a444;
26;32a;35b;a9e8;
27;32c;35a;af8c;
28;32d;35b;b534;
28;32c;357;bad8;
2a;329;359;c07c;
2b;32b;358;c620;
2b;32c;35b;cbc8;
2c;32b;359;d16c;
2c;32b;35a;d710;
2d;32b;35b;dcb4;
2f;32b;359;e25c;
2f;32c;35c;e804;
31;328;35a;eda4;
31;32b;359;f34c;
32;32c;359;f8f0;
33;327;35a;fe94;
35;32c;35b;438;
35;329;35b;988;
36;32d;359;ed8;
38;32b;35d;1428;
39;32c;358;19cc;
3a;32c;35c;1f74;
3b;329;35b;2518;
3b;32c;359;2abc;
3d;32b;35a;3064;
3f;32b;35a;3608;
3f;32c;359;3bac;
40;32c;35a;4150;
42;32b;35c;46f4;
42;32a;359;4c9c;
44;329;357;5240;
46;32c;35c;57e4;
47;32b;356;5d88;
48;32b;35c;6330;
49;32a;35a;68d4;
4a;32c;35a;6e78;
4c;32a;35c;7420;
4d;329;359;79c4;
4e;328;35a;7f68;
50;32c;35b;850c;
51;32b;35b;8ab4;
52;32a;35b;9058;
54;323;35b;95fc;
55;329;35a;9ba0;
56;32a;359;a148;
58;329;35b;a6ec;
59;329;359;ac90;
5a;328;35a;b234;
5c;328;35c;b7d8;
5e;32a;35c;bd80;
5e;329;359;c324;
60;32a;359;c8c8;
61;329;35c;ce70;
62;328;359;d418;
64;329;35f;d9b8;
66;327;35b;df5c;
67;326;35b;e504;
68;327;35a;eaa8;
6a;325;35c;f04c;
6b;328;359;f5f0;
6d;326;35a;fb94;
6e;328;35d;13c;
70;321;35b;68c;
71;324;359;bdc;
73;323;359;112c;
74;324;359;16d0;
76;321;35a;1c74;
77;321;358;221c;
78;321;358;27c0;
7a;320;356;2d64;
7b;31e;357;3308;
7d;31e;354;38ac;
7e;319;354;3e54;
80;31c;354;43f8;
81;31b;351;499c;
83;31c;352;4f40;
84;31b;351;54e8;
84;317;34d;5a8c;
86;31b;34f;6030;
89;318;34c;65d4;
8a;31a;34b;6b7c;
8b;31b;34d;7120;
8e;31a;34c;76c4;
8f;31a;34a;7c68;
90;31a;348;8210;
91;31b;347;87b4;
93;31b;348;8d58;
95;31b;347;92fc;
96;31e;344;98a4;
97;31b;344;9e48;
99;31b;344;a3ec;
9b;31b;342;a990;
9b;319;340;af38;
9d;319;340;b4dc;
9e;318;340;ba80;
a0;319;33d;c024;
a2;319;340;c5cc;
a3;317;33c;cb70;
a3;316;33b;d114;
a6;317;33c;d6b8;
a7;314;33a;dc60;
a8;315;33b;e204;
aa;312;33a;e7a8;
ab;310;338;ed4c;
ab;30f;336;f2f4;
ad;30d;335;f898;
af;30e;336;fe3c;
af;30f;337;3e0;
b2;30b;338;930;
b1;30b;334;e84;
b4;310;337;13d0;
b5;30d;333;1978;
b7;30d;333;1f1c;
b8;30e;333;24c0;
b9;30e;331;2a68;
ba;30d;32f;3010;
bb;30b;330;35b0;
bd;30f;331;3b54;
be;30b;32f;40f8;
bf;30b;32f;46a0;
c0;30d;32f;4c44;
c1;30c;32f;51e8;
c2;30b;32e;578c;
c3;30d;32d;5d34;
c5;30b;32f;62d8;
c6;30d;32d;687c;
c7;30d;32c;6e24;
c8;30c;32d;73c8;
c9;30c;329;796c;
ca;30c;32d;7f10;
cb;30c;32a;84b4;
cc;30d;329;8a5c;
cd;30b;32b;9008;
ce;30a;325;95a4;
ce;30c;32a;9b48;
cf;30d;326;a0f0;
d0;30f;324;a694;
d2;30d;324;ac38;
d3;30b;323;b1e0;
d3;30e;321;b784;
d4;30c;31f;bd28;
d5;30d;31f;c2cc;
d6;30c;31e;c870;
d6;30d;31c;ce18;
d7;30b;31f;d3bc;
d8;30b;31a;d960;
d9;30c;31b;df04;
da;30c;31c;e4ac;
da;30b;319;ea50;
db;30b;319;eff4;
dc;308;318;f59c;
dc;30b;318;fb40;
dd;30b;317;e4;
de;30c;316;5e0;
dd;30b;317;b30;
de;309;318;1080;
df;30b;317;1624;
e0;309;317;1bc8;
e0;30b;317;216c;
e0;30d;317;2714;
e0;30a;314;2cb8;
e1;30c;316;325c;
e2;30e;314;3808;
e2;30b;315;3da8;
e2;30b;316;434c;
e3;309;315;48f0;
e3;30b;311;4e98;
e4;309;315;543c;
e4;30b;315;59e0;
e3;30b;313;5f84;
e3;30a;314;6528;
e3;30b;313;6ad0;
e3;30c;313;7074;
e5;30c;316;7618;
e5;30a;310;7bbc;
e5;30a;312;8164;
e5;30a;313;8708;
e5;30b;311;8cac;
e6;30c;311;9250;
e4;30c;311;97f8;
e6;30c;312;9d9c;
e6;30b;311;a340;
e5;30b;310;a8e8;
e5;30c;313;ae8c;
e5;30b;310;b430;
e5;30c;313;b9d4;
e5;30a;30f;bf78;
e5;30a;311;c520;
e4;30c;312;cac4;
e4;307;313;d068;
e5;30a;310;d60c;
e5;30a;313;dbb4;
e5;30a;313;e158;
e4;30b;30f;e6fc;
e3;30b;310;eca0;
e3;308;312;f248;
e3;30a;311;f7ec;
e3;30b;314;fd90;
e2;30c;312;334;
e2;30a;312;888;
e0;30d;311;dd4;
e0;307;30f;1324;
e0;30b;310;18cc;
e0;30d;312;1e70;
e0;30b;30f;241c;
df;30d;312;29b8;
de;30a;312;2f60;
df;30a;311;3504;
dd;30b;30f;3aa8;
dc;30b;311;404c;
db;30c;311;45f4;
db;30b;310;4b98;
db;30b;312;513c;
da;307;311;56e0;
d9;309;30d;5c88;
da;30b;313;622c;
d8;309;313;67d0;
d7;30a;30e;6d74;
d5;30b;312;731c;
d7;309;311;78c0;
d4;30b;311;7e64;
d5;30b;312;8410;
d3;307;310;89b0;
d3;30a;30f;8f54;
d2;30a;311;94f8;
d0;309;311;9a9c;
d0;30a;311;a044;
cf;30a;312;a5e8;
ce;30a;310;ab8c;
ce;30c;313;b130;
cd;309;311;b6d8;
cb;30a;312;bc7c;
cb;30a;311;c220;
c9;309;311;c7c4;
c8;30c;312;cd6c;
c7;30a;311;d310;
c6;30a;312;d8b4;
c5;309;313;de58;
c4;30c;310;e404;
c2;309;310;e9a4;
c3;30a;312;ef48;
c1;309;30f;f4ec;
bf;307;312;fa94;
bf;30b;311;38;
bd;308;312;534;
bc;308;312;a84;
ba;30b;311;fd4;
bb;309;30f;1524;
b9;30c;313;1ac8;
b8;30b;312;206c;
b7;306;30f;2610;
b4;30d;314;2bb8;
b5;30b;311;315c;
b3;309;311;3700;
b1;309;312;3ca4;
b0;30a;311;424c;
ae;309;312;47f0;
ad;30a;310;4d94;
ac;30a;312;5338;
aa;307;314;58e0;
a9;30a;311;5e84;
a8;30a;312;6428;
a7;309;312;69cc;
a5;309;30f;6f74;
a4;30b;314;7518;
a2;30a;313;7abc;
a1;30b;311;8064;
a0;308;311;8608;
9f;30a;314;8bac;
9d;30b;311;9150;
9c;30a;311;96f8;
9b;30c;315;9c9c;
99;30b;312;a240;
98;308;313;a7e4;
96;308;312;ad8c;
95;30c;313;b330;
94;308;315;b8d4;
92;308;313;be78;
90;30c;311;c420;
8e;306;312;c9c4;
8d;309;312;cf68;
8c;30a;312;d50c;
8b;30c;313;dab4;
89;30a;314;e058;
87;306;313;e5fc;
85;30a;315;eba0;
85;30a;316;f148;
83;30a;315;f6ec;
82;309;317;fc90;
80;30a;318;234;
7e;309;317;784;
7d;309;318;cd4;
7c;30a;31a;1224;
7a;309;31a;17cc;
79;30b;31d;1d70;
78;30b;31c;2314;
76;30a;31b;28b8;
75;309;31d;2e5c;
73;30a;31d;3408;
71;30c;31d;39a8;
70;307;31f;3f4c;
6e;30b;320;44f0;
6c;30a;31f;4a98;
6c;30b;323;503c;
69;309;324;55e0;
69;30b;325;5b88;
67;309;324;612c;
65;308;326;66d0;
63;306;324;6c74;
63;30b;328;7218;
62;30a;329;77c0;
60;30a;329;7d64;
5f;30a;329;8308;
5c;30b;32b;88ac;
5c;30a;32b;8e54;
5a;30a;32b;93f8;
59;30b;32f;999c;
58;309;32c;9f40;
56;30c;331;a4e8;
55;309;331;aa8c;
53;30a;331;b030;
52;30d;332;b5d8;
51;30b;334;bb7c;
4f;30c;334;c120;
4e;308;333;c6c4;
4d;30a;336;cc68;
4b;30c;336;d210;
4a;30a;339;d7b4;
49;30d;33c;dd58;
48;30e;339;e2fc;
47;30f;339;e8a4;
45;30f;33a;ee48;
44;310;339;f3ec;
43;311;33c;f990;
42;312;33c;ff38;
3f;315;33b;4dc;
3f;316;340;a2c;
3e;317;341;f7c;
3d;318;33d;14cc;
3c;317;33f;1a70;
3a;317;33f;201c;
39;31c;342;25bc;
38;31c;342;2b60;
37;31e;344;3104;
35;320;346;36a8;
35;31f;34a;3c50;
34;31e;345;41f4;
34;322;347;4798;
32;324;34b;4d3c;
32;323;347;52e4;
31;323;347;5888;
30;320;347;5e2c;
2e;326;349;63d0;
2d;324;349;6978;
2c;322;34b;6f1c;
2c;322;34c;74c0;
2b;324;349;7a68;
2a;323;34b;8010;
2a;323;34d;85b0;
29;323;349;8b54;
28;323;34b;90f8;
27;323;34d;96a0;
26;324;34c;9c44;
26;324;34d;a1e8;
25;323;350;a78c;
24;323;34e;ad34;
23;324;34d;b2d8;
23;323;350;b87c;
23;322;34f;be24;
22;324;351;c3c8;
21;323;350;c96c;
20;324;350;cf10;
1f;326;354;d4b4;
20;323;351;da5c;
1e;325;351;e008;
1e;323;355;e5a4;
1e;327;354;eb48;
1d;327;353;f0f0;
1d;329;353;f694;
1c;325;356;fc38;
1b;328;354;1dc;
1c;326;354;72c;
1b;329;358;c7c;
1b;329;355;11cc;
1b;329;356;1774;
1b;329;356;1d18;
19;32a;355;22bc;
1a;32a;355;2860;
1a;32b;35a;2e08;
19;32b;355;33ac;
1a;32c;356;3950;
19;32b;356;3ef8;
18;329;359;449c;
1a;32b;357;4a40;
19;32a;35a;4fe4;
18;32d;358;558c;
19;32b;35b;5b30;
19;32b;359;60d4;
19;32b;359;6678;
19;32b;35b;6c20;
19;32b;359;71c4;
18;32c;359;7768;
19;32a;359;7d0c;
19;329;359;82b0;
19;32c;358;8858;
19;32c;35a;8dfc;
1a;32b;357;93a0;
19;32c;358;9944;
1a;32b;35a;9eec;
1a;32c;359;a490;
1a;32c;359;aa34;
1a;327;35a;afd8;
1a;32b;358;b580;
1a;32d;357;bb24;
1b;32c;35a;c0c8;
1c;32b;359;c66c;
1c;32a;359;cc18;
1b;32c;357;d1b8;
1e;32a;359;d75c;
1d;32d;357;dd00;
1e;32c;35a;e2a8;
1f;32b;35c;e84c;
1f;32b;35c;edf0;
20;32c;35a;f398;
21;32b;358;f93c;
20;32d;35a;fee0;
21;329;359;484;
21;32c;359;9d4;
22;32b;359;f24;
23;329;359;1474;
24;32b;35a;1a18;
24;32c;359;1fc0;
25;32c;359;2564;
26;329;359;2b08;
25;327;357;30ac;
27;32a;35a;3654;
27;32a;356;3bf8;
27;32c;358;419c;
29;32a;357;4740;
2a;32a;35a;4ce8;
2a;32e;359;528c;
2b;32f;35d;5830;
2c;32a;35c;5dd8;
2c;32d;35b;637c;
2e;32c;35a;6920;
30;32b;35b;6ec4;
30;32b;357;746c;
31;32b;35b;7a10;
32;32a;35b;7fb4;
32;32b;357;8558;
34;32c;35a;8b00;
35;32b;35a;90a4;
36;32c;35a;9648;
38;32c;35b;9bec;
38;32b;35b;a190;
39;32d;35b;a738;
3b;32b;359;acdc;
3c;32b;35c;b280;
3c;32d;358;b824;
3e;32c;35c;bdcc;
40;32b;35b;c370;
41;32b;359;c914;
41;32c;35a;ceb8;
43;32b;35b;d460;
43;32a;35a;da04;
45;32b;35b;dfa8;
47;32a;35a;e54c;
47;329;35b;eaf4;
49;32b;35d;f098;
4a;329;359;f63c;
4c;32b;357;fbe0;
4d;328;35e;188;
4e;32b;357;6d8;
4f;329;35a;c28;
50;32a;35b;1178;
51;32a;359;171c;
53;32a;358;1cc0;
54;329;359;2268;
55;32a;35a;2810;
57;32a;359;2db0;
58;32a;357;3354;
5a;328;359;38f8;
5b;329;359;3ea0;
5d;32a;35c;4444;
5e;328;35a;49e8;
5f;32a;35a;4f8c;
61;327;35d;5534;
62;329;35e;5ad8;
63;328;359;607c;
64;328;35b;6620;
66;326;35a;6bc8;
67;326;358;716c;
68;328;35d;7710;
6b;325;35b;7cb8;
6b;323;35a;825c;
6e;325;35b;8808;
70;326;35b;8da4;
71;323;35d;934c;
72;324;359;98f0;
73;323;35a;9e94;
76;322;355;a438;
77;321;359;a9dc;
78;31f;355;af84;
7a;320;355;b528;
7b;320;356;bacc;
7c;31d;353;c070;
7e;31f;354;c618;
80;31c;353;cbbc;
81;31d;356;d160;
82;31c;350;d704;
84;317;351;dcac;
85;319;34f;e250;
86;31d;34b;e7f4;
88;31b;34c;ed98;
8a;31a;34e;f340;
8b;31a;349;f8e4;
8d;31d;34a;fe88;
8f;31b;34b;430;
8f;31b;347;97c;
91;319;346;ed0;
93;31d;34a;1420;
93;31a;346;19c4;
95;31b;347;1f68;
96;31d;344;250c;
98;319;344;2ab0;
99;31a;341;3058;
9a;317;341;35fc;
9c;31d;343;3ba0;
9d;319;340;4144;
a0;31a;340;46ec;
a0;317;339;4c90;
a2;31b;33f;5234;
a4;318;33d;57d8;
a5;317;33c;5d80;
a6;317;33c;6324;
a7;313;339;68c8;
a9;312;338;6e6c;
ab;313;33a;7418;
ab;30f;337;79b8;
ad;30e;332;7f5c;
af;30f;335;8500;
b0;30b;332;8aa8;
b0;30b;333;904c;
b2;30c;336;95f0;
b4;30b;333;9b98;
b4;30e;333;a13c;
b6;30b;331;a6e0;
b7;309;333;ac84;
b8;30c;331;b228;
b9;30c;332;b7d0;
bb;30d;330;bd74;
bc;30d;334;c318;
bd;30e;32f;c8bc;
be;30e;330;ce64;
c0;30c;333;d410;
c1;30c;32f;d9ac;
c2;30d;32d;df54;
c3;30d;32b;e4f8;
c5;30d;32e;ea9c;
c5;30b;32e;f040;
c7;30d;329;f5e4;
c7;30b;32b;fb8c;
c8;30a;32c;130;
c9;30c;329;680;
cb;30f;328;bd0;
cb;30b;329;1120;
cc;30c;327;16c4;
cd;30c;328;1c68;
cd;309;324;2210;
ce;30b;324;27b4;
ce;30b;325;2d58;
d1;30b;322;32fc;
d1;30f;323;38a4;
d2;30a;322;3e48;
d3;30c;322;43ec;
d3;30e;31f;4994;
d6;30c;321;4f38;
d6;30a;31f;54dc;
d6;30c;31e;5a80;
d6;309;31f;6024;
d8;30c;31b;65cc;
d8;30b;319;6b70;
d9;30c;31c;7114;
da;30b;317;76bc;
da;30b;319;7c60;
db;309;319;8204;
dd;30c;319;87a8;
dd;30b;319;8d4c;
dd;30b;319;92f4;
df;30a;318;9898;
de;30a;314;9e3c;
df;30e;316;a3e0;
e0;309;319;a988;
df;30a;316;af2c;
e0;30c;316;b4d0;
e0;309;316;ba74;
e0;30a;314;c020;
e2;309;314;c5c0;
e2;309;315;cb64;
e2;30b;313;d10c;
e2;30a;313;d6b0;
e2;30a;314;dc54;
e2;30b;313;e1f8;
e2;308;316;e79c;
e4;30b;312;ed44;
e4;309;311;f2e8;
e3;30b;313;f88c;
e4;30a;311;fe34;
e5;30a;313;3d8;
e4;309;312;928;
e5;30a;311;e78;
e5;30b;311;13c8;
e4;30b;312;196c;
e5;30b;311;1f10;
e5;30b;30f;24b4;
e6;30d;313;2a5c;
e5;30b;313;3008;
e5;30a;311;35a4;
e4;308;310;3b48;
e6;306;312;40f0;
e5;30b;30d;4694;
e5;30d;312;4c38;
e5;309;313;51dc;
e3;30b;310;5784;
e4;30b;30f;5d28;
e4;30b;312;62cc;
e3;30a;310;6870;
e3;30b;312;6e18;
e3;30b;311;73bc;
e2;30b;312;7960;
e3;309;311;7f04;
e3;30b;312;84ac;
e2;309;30f;8a50;
e2;30b;311;8ff4;
e1;30b;311;9598;
e0;30a;310;9b40;
e1;30a;311;a0e4;
e0;308;311;a688;
df;30a;30f;ac2c;
de;30b;311;b1d4;
de;30a;311;b778;
de;30b;310;bd1c;
dd;307;312;c2c4;
dc;309;311;c868;
dc;30a;30f;ce0c;
db;30b;315;d3b0;
db;30a;312;d954;
da;30d;313;defc;
da;30b;310;e4a0;
d8;30a;30f;ea44;
d8;309;311;efe8;
d8;30b;312;f590;
d7;30a;311;fb34;
d7;30b;313;d8;
d6;30a;311;5d4;
d4;309;312;b24;
d4;309;311;1074;
d3;30a;312;1618;
d1;307;311;1bbc;
d1;30b;311;2164;
d0;307;30f;2708;
cf;309;310;2cac;
cf;309;314;3254;
ce;309;311;37f8;
cc;30a;310;3d9c;
cb;30c;311;4340;
ca;309;312;48e4;
c9;30b;313;4e8c;
c9;309;312;5430;
c8;308;312;59d4;
c6;30b;312;5f7c;
c6;309;311;6520;
c5;30a;312;6ac4;
c4;30c;311;7068;
c3;309;312;760c;
c1;309;312;7bb4;
c0;30a;310;8158;
bf;30c;312;86fc;
be;309;311;8ca0;
bc;309;310;9248;
bb;30c;311;97ec;
ba;308;312;9d90;
b9;30b;311;a334;
b8;307;313;a8dc;
b7;30a;312;ae80;
b5;309;30f;b424;
b5;308;312;b9c8;
b3;309;313;bf70;
b2;30a;310;c514;
b0;30a;313;cab8;
af;30a;312;d05c;
ae;30b;311;d604;
ac;30a;313;dba8;
ab;30a;312;e14c;
a9;30a;30f;e6f0;
a8;309;311;ec98;
a7;309;311;f23c;
a5;30a;30f;f7e0;
a4;308;313;fd84;
a3;30b;315;32c;
a1;309;311;87c;
9f;30a;311;dcc;
9f;30a;313;131c;
9d;309;310;18c0;
9d;309;311;1e64;
9b;308;311;2410;
98;307;310;29b0;
97;308;311;2f54;
96;309;311;34f8;
95;30a;311;3aa0;
93;30a;313;4044;
92;308;312;45e8;
8f;309;311;4b8c;
8e;309;313;5130;
8d;309;314;56d8;
8c;308;311;5c7c;
8a;30a;312;6220;
89;30b;314;67c4;
87;307;315;6d6c;
86;30a;316;7310;
84;30b;315;78b4;
83;30c;317;7e5c;
82;309;316;8404;
80;30a;316;89a4;
7e;309;315;8f48;
7e;30b;319;94ec;
7c;30a;319;9a94;
7b;309;31a;a038;
78;309;317;a5dc;
76;307;31a;ab84;
75;30a;31a;b128;
74;307;31a;b6cc;
73;308;31c;bc70;
71;309;31d;c214;
70;309;320;c7bc;
6e;307;320;cd60;
6d;309;320;d304;
6c;30a;321;d8ac;
6b;30a;326;de50;
69;308;323;e3f4;
66;30b;323;e998;
66;309;325;ef3c;
63;30b;329;f4e4;
62;30
