d2f4;315;e700;
e0;30b;315;9e24;
e0;30a;318;a3c8;
e1;309;317;a96c;
e0;308;316;af10;
e1;306;311;b4b4;
e2;308;314;ba5c;
e1;304;314;c004;
e1;308;314;c5a4;
e2;308;317;cb48;
e2;307;316;d0f0;
e3;308;314;d694;
e3;309;318;dc38;
e3;307;316;e1dc;
e4;309;314;e784;
e4;306;316;ed28;
e4;307;314;f2cc;
e4;308;316;f874;
e5;306;316;fe18;
e4;307;315;3bc;
e5;308;316;90c;
e4;30b;315;e5c;
e5;307;315;13ac;
e5;307;318;1950;
e4;307;315;1ef4;
e5;309;317;249c;
e5;308;314;2a40;
e5;308;315;2fe4;
e6;30a;317;3588;
e6;308;317;3b30;
e6;306;315;40d4;
e5;308;315;4678;
e5;307;315;4c20;
e4;308;317;51c4;
e5;307;315;5768;
e5;309;315;5d0c;
e3;308;315;62b0;
e4;307;318;6858;
e4;309;316;6dfc;
e4;309;31a;73a0;
e2;306;316;7944;
e2;307;315;7eec;
e2;308;319;8490;
e1;309;313;8a34;
e1;307;316;8fdc;
e1;308;315;9580;
e0;30b;316;9b24;
e0;308;317;a0c8;
df;308;315;a66c;
df;309;316;ac18;
de;307;314;b1b8;
de;306;316;b75c;
dd;308;314;bd00;
dc;309;316;c2a8;
