9328;348;9b60;
ca;306;309;2a80;
ca;303;309;3024;
c8;304;308;35cc;
c7;305;30a;3b70;
c6;305;306;4114;
c5;308;30a;46b8;
c3;308;30b;4c60;
c3;303;309;5204;
c1;305;309;57a8;
c0;306;30a;5d4c;
bd;304;309;62f4;
bc;306;30a;6898;
ba;304;30a;6e3c;
ba;305;30b;73e0;
b8;306;308;7988;
b7;304;30c;7f2c;
b5;307;30c;84d0;
b3;305;308;8a74;
b2;304;30b;9020;
b0;301;30a;95c0;
ae;306;308;9b64;
ac;304;30a;a108;
ab;304;309;a6b0;
a9;305;309;ac54;
a7;305;309;b1f8;
a6;303;30a;b79c;
a4;306;307;bd44;
a2;304;30a;c2e8;
a1;301;307;c88c;
9f;303;308;ce30;
9d;305;309;d3d8;
9c;304;30d;d97c;
99;305;30b;df20;
97;305;30b;e4c4;
96;306;30b;ea6c;
94;304;309;f014;
92;305;309;f5b4;
91;307;308;fb58;
8e;306;309;100;
8d;303;30c;650;
8b;305;30a;ba0;
89;306;309;10f0;
87;305;306;1694;
85;303;307;1c38;
84;306;306;21dc;
81;305;30b;2784;
80;305;30c;2d28;
7d;302;309;32cc;
7c;306;309;3870;
7b;304;30c;3e18;
79;306;30b;43bc;
76;304;30a;4960;
76;303;30c;4f04;
73;304;30b;54ac;
71;304;30c;5a50;
70;303;30e;5ff4;
6e;304;30d;6598;
6c;304;30f;6b40;
6a;309;30f;70e4;
68;305;310;7688;
66;308;311;7c2c;
64;305;30f;81d4;
63;30b;311;8778;
61;308;312;8d1c;
5f;306;315;92c0;
5e;308;313;9868;
5c;308;317;9e0c;
5b;308;319;a3b0;
58;30a;319;a954;
56;309;31b;aefc;
55;308;31c;b4a0;
53;30a;31a;ba44;
52;30a;31c;bfe8;
50;309;31e;c590;
4e;30e;321;cb34;
4d;30b;321;d0d8;
4b;30f;321;d67c;
49;312;322;dc24;
48;310;321;e1c8;
47;311;326;e76c;
45;315;327;ed10;
43;318;327;f2b8;
42;31a;32a;f85c;
41;31b;32d;fe00;
3f;31c;327;3a4;
3d;31a;32d;8f4;
3d;31a;32e;e44;
3b;31e;332;1394;
3a;31a;331;193c;
38;31c;330;1ee0;
37;31c;332;2484;
36;31b;333;2a28;
34;320;334;2fd0;
33;320;335;3574;
32;31e;336;3b18;
30;322;335;40bc;
2f;31c;339;4664;
2e;321;337;4c0c;
2d;320;339;51ac;
2c;322;339;5750;
2c;31f;33e;5cf8;
2a;321;33d;629c;
28;324;33e;6840;
28;323;340;6de4;
27;324;33e;738c;
26;326;340;7930;
25;325;33f;7ed4;
25;324;341;8478;
23;324;343;8a20;
23;328;343;8fc4;
22;327;346;9568;
21;329;345;9b0c;
21;327;347;a0b4;
20;327;347;a658;
1f;328;349;abfc;
1f;328;348;b1a0;
1e;32a;349;b748;
1d;329;349;bcec;
1e;32b;34b;c290;
1c;329;34a;c834;
1b;32c;34e;cddc;
1b;32a;34e;d380;
1b;32b;34b;d924;
1a;32c;34b;dec8;
1a;32a;34e;e470;
19;32c;34b;ea14;
19;32c;34d;efb8;
1a;329;350;f55c;
19;32c;34d;fb04;
18;32a;34f;a8;
18;32b;353;5a4;
19;330;350;af4;
19;32c;34f;1044;
19;32d;350;15e8;
19;32b;354;1b8c;
19;32d;354;2130;
19;330;355;26d8;
19;32d;353;2c7c;
1a;32b;356;3220;
1a;32f;352;37c4;
19;32d;357;3d6c;
1a;32d;354;4310;
1a;32e;357;48b4;
19;330;355;4e58;
1a;32b;358;5404;
1a;32f;356;59a4;
1c;32e;355;5f48;
1c;32b;354;64ec;
1c;32d;355;6a94;
1d;331;358;7038;
1e;330;356;75dc;
1e;32f;355;7b80;
1e;32e;355;8128;
20;32d;357;86cc;
21;32b;358;8c70;
20;330;357;9214;
21;32d;356;97bc;
22;331;354;9d60;
23;330;359;a304;
24;32f;359;a8a8;
24;32f;358;ae50;
26;32c;356;b3f4;
26;32f;358;b998;
28;32f;358;bf3c;
28;32e;358;c4e4;
2a;32d;357;ca88;
2a;32e;357;d02c;
2a;330;356;d5d0;
2d;32d;358;db78;
2e;32f;357;e11c;
2f;32f;355;e6c0;
30;32d;357;ec64;
31;32f;358;f20c;
32;32f;358;f7b0;
34;32b;357;fd54;
35;330;358;2f8;
36;32d;35b;848;
36;32f;358;d98;
39;32f;357;12e8;
39;332;357;1890;
3c;331;357;1e34;
3d;32e;355;23d8;
3e;32f;356;297c;
40;32d;357;2f24;
41;330;355;34c8;
42;32d;355;3a6c;
44;330;356;4018;
46;32f;353;45b8;
47;32e;356;4b5c;
48;32e;354;5100;
4a;32f;353;56a4;
4b;32e;357;5c4c;
4c;32e;355;61f0;
4e;330;355;6794;
50;32c;356;6d38;
52;32b;353;72e0;
53;32f;353;7884;
55;32f;352;7e28;
57;32c;352;83cc;
58;32e;350;8974;
5a;32f;351;8f18;
5c;32c;352;94bc;
5e;32e;352;9a60;
60;32d;354;a00c;
62;32c;350;a5ac;
64;32d;34f;ab50;
65;32a;34f;b0f4;
67;32b;34e;b69c;
69;32a;34d;bc40;
6a;32a;34d;c1e4;
6d;329;34b;c788;
6e;327;34e;cd30;
70;327;34c;d2d4;
72;326;34c;d878;
74;325;347;de1c;
75;325;347;e3c4;
78;323;348;e968;
79;324;347;ef0c;
7a;324;346;f4b0;
7d;322;346;fa58;
7f;322;344;fffc;
80;31f;344;5a0;
83;322;344;af0;
84;31f;341;1040;
86;323;342;15e4;
88;31f;342;1b8c;
8a;320;341;2130;
8c;321;33d;26d4;
8d;31d;33d;2c78;
8f;31d;33e;3220;
91;320;33d;37c4;
92;31f;33d;3d68;
94;31c;33a;430c;
96;31f;33c;48b4;
98;31e;33b;4e58;
9a;31e;339;53fc;
9c;320;339;59a0;
9e;31c;338;5f48;
a0;31e;338;64ec;
a1;31b;336;6a90;
a3;31b;335;7034;
a5;31b;338;75dc;
a5;317;332;7b80;
a7;318;333;8124;
aa;318;332;86c8;
ac;317;331;8c70;
ad;319;32c;9214;
af;315;330;97b8;
b1;315;32e;9d5c;
b1;313;32b;a304;
b4;313;32c;a8a8;
b5;314;32b;ae4c;
b7;314;32a;b3f0;
b8;315;329;b998;
ba;315;329;bf3c;
ba;312;328;c4e0;
bd;310;327;ca84;
bd;313;324;d02c;
bf;315;326;d5d0;
c2;314;321;db74;
c3;315;325;e118;
c4;314;323;e6c0;
c6;311;31f;ec64;
c6;313;321;f208;
c7;312;326;f7ac;
c8;30e;31e;fd54;
ca;312;31d;2f8;
cb;311;31e;848;
cc;312;31b;d98;
ce;314;31e;12e8;
cf;30e;31b;188c;
d0;30f;31d;1e30;
d2;310;31c;23d8;
d3;312;31b;297c;
d3;30d;318;2f20;
d5;30e;316;34c4;
d6;30f;31b;3a6c;
d6;30f;319;4018;
d8;30f;316;45b4;
d8;30f;316;4b58;
d9;30d;313;5100;
da;30c;314;56a4;
db;30c;314;5c48;
db;30b;311;61ec;
db;30a;311;6794;
dc;30c;313;6d38;
dd;30a;312;72dc;
de;30d;30f;7880;
dd;309;313;7e28;
e0;30a;311;83cc;
e0;30b;312;8970;
e1;309;310;8f14;
e2;306;311;94bc;
e2;308;312;9a60;
e3;305;30f;a00c;
e2;301;312;a5a8;
e4;307;30d;ab50;
e4;305;30f;b0f4;
e4;305;30b;b698;
e3;306;30d;bc3c;
e4;304;30d;c1e4;
e4;303;30d;c788;
e4;301;30a;cd2c;
e3;302;30b;d2d0;
e5;301;30b;d878;
e5;301;30b;de1c;
e4;2ff;30b;e3c0;
e5;2fe;30c;e964;
e5;302;309;ef0c;
e5;301;309;f4b0;
e5;2ff;30a;fa54;
e4;302;30a;fff8;
e5;302;30b;5a0;
e5;302;30b;af0;
e3;301;30a;1040;
e4;302;308;15e4;
e4;302;30a;1b88;
e3;2ff;309;212c;
e3;302;308;26d4;
e1;2ff;308;2c78;
e2;2ff;307;321c;
e2;303;30b;37c0;
e0;303;30b;3d68;
e1;300;309;430c;
e1;302;30a;48b0;
df;301;30b;4e54;
df;301;30b;53fc;
df;304;30c;59a0;
dd;301;30a;5f44;
de;300;308;64e8;
dd;300;308;6a90;
db;300;308;7034;
db;2ff;30a;75d8;
d9;302;309;7b7c;
da;303;309;8124;
d9;2ff;309;86c8;
d7;301;30a;8c6c;
d5;301;30a;9210;
d5;301;309;97b8;
d5;304;305;9d5c;
d3;300;30a;a300;
d1;2ff;309;a8a4;
d2;300;309;ae4c;
d0;302;30a;b3f0;
cf;2ff;30c;b994;
ce;303;309;bf38;
cb;300;308;c4e0;
cb;301;30a;ca84;
c9;303;30b;d028;
c8;301;309;d5cc;
c8;301;30b;db74;
c5;302;308;e118;
c5;300;30a;e6bc;
c4;301;30a;ec60;
c2;302;30c;f208;
c0;303;309;f7ac;
c0;301;309;fd50;
bd;2ff;309;2f4;
bc;300;30b;844;
ba;300;309;d94;
ba;300;308;12e4;
b8;301;308;188c;
b6;300;307;1e30;
b4;301;308;23d4;
b3;302;30b;2978;
b2;300;308;2f20;
b0;301;30a;34c4;
af;302;309;3a68;
ad;303;309;4014;
ab;301;309;45b4;
aa;302;30a;4b58;
a8;301;30a;50fc;
a7;301;309;56a0;
a4;2ff;30a;5c48;
a3;302;307;61ec;
a1;302;307;6790;
9f;301;309;6d34;
9d;303;308;72dc;
9c;305;30b;7880;
9a;301;309;7e24;
98;300;309;83c8;
97;303;307;8970;
95;301;30b;8f14;
93;2ff;30c;94b8;
90;302;309;9a5c;
8f;301;30c;a008;
8d;303;30c;a5a8;
8b;303;307;ab4c;
8a;302;30a;b0f0;
88;300;309;b698;
85;304;309;bc3c;
84;305;308;c1e0;
82;300;30a;c784;
80;2ff;309;cd2c;
7e;302;309;d2d0;
7d;300;30a;d874;
7b;303;30d;de18;
78;304;30b;e3c0;
77;301;30c;e964;
76;303;30b;ef08;
73;302;30b;f4ac;
71;2ff;30e;fa54;
70;305;30e;fff8;
6d;300;30b;59c;
6d;304;30d;aec;
6a;303;30e;103c;
69;301;310;15e0;
67;305;310;1b88;
65;305;311;212c;
64;303;311;26d0;
62;307;315;2c74;
60;303;314;321c;
5e;309;314;37c0;
5c;306;314;3d64;
5a;305;317;4308;
59;30a;315;48b0;
57;30c;319;4e54;
56;30a;318;53f8;
54;30e;319;599c;
52;30c;31d;5f44;
51;30d;320;64e8;
4e;311;31d;6a8c;
4d;310;321;7030;
4c;311;326;75d8;
4a;316;321;7b7c;
48;315;325;8120;
47;314;326;86c4;
45;317;327;8c6c;
44;317;326;9210;
43;318;327;97b4;
41;319;328;9d58;
3f;318;32a;a300;
3e;319;32c;a8a4;
3c;31b;32e;ae48;
3a;31c;32f;b3ec;
3a;319;332;b994;
38;31c;330;bf38;
37;31b;331;c4dc;
36;31d;334;ca80;
34;31b;333;d028;
33;31c;335;d5cc;
32;31a;336;db70;
31;31b;336;e114;
2f;31a;336;e6bc;
2e;31c;33a;ec60;
2d;31c;339;f204;
2c;31e;33b;f7a8;
2c;31b;33c;fd50;
2a;320;33a;2f4;
29;31c;33e;844;
28;31f;33f;d94;
28;322;341;12e4;
26;322;342;1888;
26;321;341;1e2c;
25;324;33f;23d4;
23;322;343;2978;
23;323;342;2f1c;
22;326;345;34c0;
22;327;346;3a68;
20;328;346;4010;
20;327;347;45b0;
20;325;347;4b54;
1f;329;349;50fc;
1e;32b;34a;56a0;
1e;329;34a;5c44;
1d;32b;34c;61e8;
1d;32a;34c;6790;
1c;329;34a;6d34;
1b;32b;34e;72d8;
1c;32b;34d;787c;
1b;32a;34e;7e24;
1a;329;34d;83c8;
1a;329;34e;896c;
1a;32a;34d;8f10;
1a;32d;34f;94b8;
19;32d;350;9a5c;
1a;32b;354;a008;
1a;32b;34e;a5a4;
18;32b;351;ab4c;
18;32f;353;b0f0;
18;32b;350;b694;
19;329;34e;bc38;
18;32d;352;c1e0;
1a;32c;351;c784;
19;32b;352;cd28;
1a;32c;353;d2cc;
1a;329;354;d874;
1a;32e;354;de18;
1a;32c;353;e3bc;
1a;32c;354;e960;
1a;32b;352;ef08;
1b;329;353;f4ac;
1c;32b;357;fa50;
1c;32e;356;fff4;
1c;32c;35a;59c;
1d;32a;357;aec;
1d;32e;356;103c;
1d;32e;352;15e0;
1e;32c;359;1b84;
1e;32c;359;2128;
20;32b;358;26d0;
20;32c;356;2c74;
20;32b;35c;3218;
21;32e;35a;37bc;
22;32e;35a;3d64;
24;32a;35a;4308;
23;32c;357;48ac;
24;32a;35a;4e50;
26;32b;358;53f8;
26;32d;356;599c;
27;32d;358;5f40;
28;32b;358;64e4;
29;32c;35b;6a8c;
2a;32a;358;7030;
2c;32c;356;75d4;
2c;32b;358;7b78;
2c;32f;358;8120;
2f;32b;358;86c4;
30;32b;358;8c68;
31;32d;359;920c;
32;328;358;97b4;
33;32b;358;9d58;
34;32d;357;a2fc;
35;32c;354;a8a0;
37;32b;357;ae48;
38;32d;35a;b3ec;
3a;32a;358;b990;
3b;32b;358;bf34;
3c;32d;356;c4dc;
3e;32b;358;ca80;
40;32d;357;d024;
41;32a;357;d5c8;
42;32b;356;db70;
43;32c;353;e114;
45;32e;357;e6b8;
47;32c;358;ec5c;
48;32a;351;f204;
4a;32e;353;f7a8;
4c;32a;356;fd4c;
4d;32c;357;2f0;
4f;32b;356;840;
50;32c;352;d90;
52;32c;352;12e0;
53;32c;353;1888;
55;329;354;1e2c;
57;32b;351;23d0;
59;32b;350;2974;
5a;32c;353;2f1c;
5d;32b;352;34c0;
5e;32a;353;3a64;
60;32b;350;4010;
61;32b;34d;45b0;
63;32a;34f;4b54;
66;329;34e;50f8;
67;327;34d;569c;
69;327;34d;5c44;
6b;327;34c;61e8;
6c;327;34b;678c;
6e;326;34a;6d30;
70;323;34c;72d8;
72;322;34d;787c;
74;326;34a;7e20;
76;322;34d;83c4;
77;322;349;896c;
78;322;349;8f10;
7b;320;346;94b4;
7d;326;346;9a58;
7f;31d;346;a000;
81;31f;346;a5a4;
83;31e;344;ab48;
84;31f;341;b0ec;
86;31f;340;b694;
88;31e;343;bc38;
8a;31d;33f;c1dc;
8b;31f;33e;c780;
8e;31e;341;cd28;
90;31d;340;d2cc;
91;31a;33d;d870;
93;31d;339;de14;
95;31d;33b;e3bc;
97;31a;33c;e960;
99;319;339;ef04;
9a;31a;338;f4a8;
9c;31c;336;fa50;
9e;317;335;fff4;
9f;31a;338;598;
a1;31a;335;ae8;
a3;317;334;1038;
a5;316;333;15dc;
a6;315;335;1b84;
a8;317;334;2128;
aa;315;32d;26cc;
aa;315;330;2c70;
ad;311;32f;3218;
ae;311;32e;37bc;
af;314;32c;3d60;
b2;312;32e;4304;
b4;310;32d;48ac;
b5;312;32a;4e50;
b6;311;32c;53f4;
b8;313;327;5998;
b9;311;32b;5f40;
bc;311;32b;64e4;
bb;311;327;6a88;
be;312;325;702c;
bf;30e;327;75d4;
c1;311;324;7b78;
c2;310;328;811c;
c4;310;322;86c0;
c5;30d;324;8c68;
c6;30f;323;920c;
c8;30f;321;97b0;
c9;30d;320;9d54;
ca;30e;31f;a2fc;
cc;30d;31e;a8a0;
cd;30e;31c;ae44;
ce;30f;31c;b3e8;
ce;30d;31f;b990;
cf;30d;317;bf34;
d1;30e;319;c4d8;
d3;30b;317;ca7c;
d4;310;316;d024;
d4;30c;318;d5c8;
d5;30a;316;db6c;
d5;307;316;e110;
d8;30b;316;e6b8;
d8;307;314;ec5c;
da;30c;315;f200;
da;307;318;f7a4;
db;308;316;fd4c;
db;308;314;2f0;
dc;308;313;840;
dd;306;312;d90;
dd;306;315;12e0;
de;301;311;1884;
e0;301;314;1e28;
e0;300;310;23d0;
e1;300;311;2974;
e1;2fd;310;2f18;
e2;2fe;311;34bc;
e2;2fe;30e;3a64;
e3;2fb;30d;400c;
e2;2ff;30d;45ac;
e2;2fc;30b;4b50;
e4;2fc;30e;50f8;
e3;2ff;30d;569c;
e2;2fb;30b;5c40;
e4;2fd;30b;61e4;
e4;2fd;30c;678c;
e4;2fe;30b;6d30;
e4;2fc;30a;72d4;
e5;2ff;30a;7878;
e4;2fe;30a;7e20;
e6;2fb;30a;83c4;
e6;2fa;309;8968;
e5;2fd;30a;8f0c;
e6;2fe;30b;94b4;
e5;2fd;30b;9a58;
e5;2fc;30a;9ffc;
e4;2fd;30a;a5a0;
e4;2fd;309;ab48;
e5;2fd;309;b0ec;
e4;2fd;30b;b690;
e4;2fb;30c;bc34;
e2;300;30b;c1dc;
e4;2fd;30a;c780;
e3;2fd;309;cd24;
e2;2fe;308;d2c8;
e3;2fc;30c;d870;
e1;2fd;309;de14;
e1;2fe;30b;e3b8;
e1;2fd;30a;e95c;
e0;300;309;ef04;
df;2fe;30a;f4a8;
de;2fb;30b;fa4c;
de;300;308;fff0;
dd;2fb;30c;598;
db;2fc;30b;ae8;
dc;2fa;309;1038;
db;2fe;308;15dc;
da;2fe;309;1b80;
d9;2fc;30a;2124;
d9;300;309;26cc;
d7;2fe;30a;2c70;
d7;2fd;30a;3214;
d5;300;30c;37b8;
d3;2fc;309;3d60;
d3;2fd;30b;4304;
d3;2ff;309;48a8;
d0;2fc;30b;4e4c;
d0;2ff;30a;53f4;
d0;2fe;309;5998;
cd;2fc;30b;5f3c;
cc;2fc;307;64e0;
cb;2ff;30b;6a88;
c9;2fd;30a;702c;
c8;2fc;309;75d0;
c7;2ff;308;7b74;
c6;2fd;309;811c;
c5;2fd;309;86c0;
c3;2fd;30c;8c64;
c2;2fc;30a;9208;
c2;2fe;309;97b0;
c0;2ff;309;9d54;
be;2fe;30a;a2f8;
bd;2fd;308;a89c;
bb;300;30b;ae44;
b9;2fe;308;b3e8;
b9;2fd;309;b98c;
b6;2fe;30c;bf30;
b5;2fd;308;c4d8;
b4;2fd;30a;ca7c;
b2;2ff;30b;d020;
b0;2fe;30a;d5c4;
af;2fb;309;db6c;
ad;2fe;30b;e110;
ab;2ff;30a;e6b4;
aa;2fb;30a;ec58;
a8;2fe;30a;f200;
a6;2fe;307;f7a4;
a5;2fa;30a;fd48;
a3;2ff;30c;2ec;
a1;2fb;30a;83c;
a0;300;30c;d8c;
9d;2fe;30a;12dc;
9b;2fe;30a;1884;
9a;2fc;30a;1e28;
98;2fd;309;23cc;
96;2fb;308;2970;
95;2fb;30a;2f18;
93;2fe;309;34bc;
91;2fe;30b;3a60;
8f;300;308;400c;
8d;2fc;308;45ac;
8b;300;307;4b50;
8a;2f9;308;50f4;
88;2fd;308;5698;
86;2fd;309;5c40;
84;2fb;30a;61e4;
83;2fc;30b;6788;
80;2fd;309;6d2c;
7f;2fc;30c;72d4;
7d;303;30e;7878;
7b;2fd;30b;7e1c;
79;2fc;30c;83c0;
78;302;30c;8968;
75;2ff;30a;8f0c;
74;2fe;30c;94b0;
72;301;30c;9a54;
70;2ff;30a;9ffc;
6e;2fb;30d;a5a0;
6d;2fe;30c;ab44;
6a;2ff;30b;b0e8;
69;301;30d;b690;
67;301;30e;bc34;
65;304;30f;c1d8;
64;301;314;c77c;
61;300;312;cd24;
60;306;313;d2c8;
5f;301;315;d86c;
5c;302;314;de10;
5b;306;316;e3b8;
59;306;317;e95c;
57;307;318;ef00;
55;309;318;f4a4;
54;309;31a;fa4c;
52;30e;31c;fff0;
50;30d;31b;594;
4f;310;31d;ae4;
4d;30d;320;1034;
4c;311;322;15d8;
4a;311;320;1b80;
49;312;324;2124;
47;313;325;26c8;
45;314;323;2c6c;
44;314;325;3214;
42;317;329;37b8;
40;318;327;3d5c;
3f;318;32c;4300;
3f;317;32e;48a8;
3d;318;330;4e4c;
3b;31b;32e;53f0;
3a;31b;330;5994;
37;31c;332;5f3c;
36;31b;330;64e0;
36;31d;331;6a84;
34;318;336;7028;
33;31b;333;75d0;
32;31c;333;7b74;
31;31e;333;8118;
30;31d;338;86bc;
2e;31e;337;8c64;
2d;31d;339;9208;
2c;320;33a;97ac;
2c;31e;33a;9d50;
2a;31e;33b;a2f8;
29;31f;33f;a89c;
28;31f;33d;ae40;
27;31f;33f;b3e4;
27;31f;340;b98c;
24;322;33e;bf30;
25;324;340;c4d4;
24;323;344;ca78;
23;325;342;d020;
22;326;342;d5c4;
21;325;345;db68;
21;329;345;e10c;
1f;328;346;e6b4;
20;326;346;ec58;
1e;329;346;f1fc;
1e;32a;349;f7a0;
1e;326;34a;fd48;
1d;327;347;2ec;
1c;32c;347;83c;
1c;32b;34c;d8c;
1c;329;34b;12dc;
1c;328;34b;1880;
1b;32c;34d;1e24;
1b;32c;34d;23cc;
1a;32a;34b;2970;
1a;32b;34f;2f14;
19;32c;34e;34b8;
19;32c;34f;3a60;
19;32c;351;400c;
19;32d;351;45a8;
19;32c;353;4b4c;
19;329;34e;50f4;
18;32b;352;5698;
19;32c;353;5c3c;
19;32b;354;61e0;
1a;329;352;6788;
18;32c;353;6d2c;
1a;32a;355;72d0;
18;32e;354;7874;
19;32a;356;7e1c;
1a;329;354;83c0;
1a;32a;354;8964;
1a;32a;355;8f08;
1a;32a;356;94b0;
1b;32a;355;9a54;
1b;32c;357;9ff8;
1c;32c;357;a59c;
1c;32c;355;ab44;
1d;32c;356;b0e8;
1e;32b;356;b68c;
1e;32b;356;bc30;
1e;32c;355;c1d8;
1f;32d;357;c77c;
20;32b;358;cd20;
21;329;355;d2c4;
22;32e;358;d86c;
22;32e;354;de10;
22;32c;357;e3b4;
24;329;357;e958;
24;32c;358;ef00;
25;32f;35a;f4a4;
26;32a;358;fa48;
26;32e;357;ffec;
28;32c;35b;594;
29;32c;355;ae4;
2a;32f;358;1034;
2c;32c;358;15d8;
2c;329;356;1b7c;
2d;32b;35a;2120;
2e;32c;358;26c8;
2f;32c;355;2c6c;
31;32a;356;3210;
32;32d;359;37b4;
33;32c;357;3d5c;
34;32a;356;4300;
36;32c;354;48a4;
37;328;358;4e48;
39;329;358;53f0;
3a;32c;357;5994;
3a;32c;357;5f38;
3d;32a;356;64dc;
3d;32c;355;6a84;
3f;32d;357;7028;
41;32d;357;75cc;
42;32b;358;7b70;
43;32c;354;8118;
45;32c;356;86bc;
47;331;358;8c60;
47;32e;355;9204;
49;32b;356;97ac;
4b;32c;353;9d50;
4d;32b;353;a2f4;
4f;32b;353;a898;
50;32c;352;ae40;
51;32b;353;b3e4;
54;32b;353;b988;
55;32d;351;bf2c;
57;32c;352;c4d4;
58;329;352;ca78;
5a;32b;352;d020;
5c;32d;350;d5c0;
5e;328;354;db68;
60;32a;350;e10c;
61;328;350;e6b0;
63;328;34d;ec54;
64;327;34d;f1fc;
67;326;34e;f7a0;
69;327;34f;fd44;
6b;327;34d;2e8;
6d;325;34c;838;
6d;326;34b;d88;
70;324;34c;12d8;
72;324;348;1880;
74;321;34a;1e24;
75;321;34a;23c8;
77;31f;347;296c;
79;31e;348;2f14;
7a;31f;349;34b8;
7c;31d;347;3a5c;
7e;31f;344;4008;
81;323;347;45a8;
82;31e;343;4b4c;
84;31d;344;50f0;
86;322;341;5694;
88;31d;342;5c3c;
8a;31d;33f;61e0;
8b;31e;33f;6784;
8d;31c;33c;6d28;
8f;31b;33e;72d0;
91;31d;33f;7874;
93;31b;339;7e18;
95;31b;33a;83bc;
96;31b;33b;8964;
98;31a;33a;8f08;
9a;318;33b;94ac;
9b;318;33a;9a50;
9d;315;338;9ff8;
a0;316;338;a59c;
a1;317;336;ab40;
a2;315;335;b0e4;
a4;314;333;b68c;
a7;314;334;bc30;
a8;314;333;c1d4;
a9;313;331;c778;
aa;313;331;cd20;
ad;313;330;d2c4;
af;312;330;d868;
b0;316;32d;de0c;
b2;313;32d;e3b4;
b3;310;32d;e958;
b5;311;32b;eefc;
b6;312;32a;f4a0;
b8;310;32a;fa48;
b9;315;32a;ffec;
bb;311;325;590;
bc;312;328;ae0;
bd;311;326;1030;
c0;310;326;15d4;
c1;310;323;1b7c;
c3;30f;324;2120;
c3;30f;325;26c4;
c4;30f;322;2c68;
c6;30e;322;3210;
c8;30d;31e;37b4;
c9;30d;320;3d58;
c9;30b;320;42fc;
cb;30f;31f;48a4;
cc;30e;31a;4e48;
ce;30d;31c;53ec;
cf;30b;31c;5990;
d0;309;31b;5f38;
d2;30b;31d;64dc;
d3;30b;319;6a80;
d3;30a;31b;7024;
d4;309;317;75cc;
d5;308;318;7b70;
d6;308;318;8114;
d8;304;316;86b8;
d8;307;317;8c60;
d8;305;315;9204;
d9;303;315;97a8;
db;306;317;9d4c;
dc;305;314;a2f4;
dd;302;310;a898;
de;301;312;ae3c;
de;2ff;30f;b3e0;
df;2fc;310;b988;
df;2ff;311;bf2c;
df;2fc;310;c4d0;
df;2f7;30f;ca74;
e1;2fb;30d;d020;
e1;2fc;30d;d5c0;
e2;2fb;312;db64;
e3;2fe;30e;e108;
e2;2fc;310;e6b0;
e3;2fa;30e;ec54;
e4;2fd;30d;f1f8;
e3;2fd;30e;f79c;
e3;2fa;30d;fd44;
e5;2fd;30c;2e8;
e5;2fc;309;838;
e4;2fc;30d;d88;
e5;2fe;30b;12d8;
e4;2fa;30c;187c;
e5;2f7;30a;1e20;
e5;2fd;30a;23c8;
e5;2fd;30a;296c;
e5;2fb;30c;2f10;
e4;2fd;30a;34b4;
e4;2fc;30a;3a5c;
e4;2fd;309;4004;
e5;2fd;309;45a4;
e4;2fd;30a;4b48;
e4;2fb;30a;50f0;
e4;2fe;308;5694;
e3;2fe;309;5c38;
e3;2fb;309;61dc;
e4;2fd;309;6784;
e2;2fa;30a;6d28;
e3;2fb;30b;72cc;
e1;2fe;30a;7870;
e0;2fc;30a;7e18;
e1;2fd;30b;83bc;
df;2fc;30a;8960;
df;300;30c;8f04;
df;2fe;309;94ac;
df;2ff;30c;9a50;
de;2fc;308;9ff4;
dd;2fb;30c;a598;
dd;2fe;308;ab40;
dc;300;30a;b0e4;
db;2fd;309;b688;
da;2fd;309;bc2c;
da;2fa;30b;c1d4;
d8;2fc;309;c778;
d8;2fa;30b;cd1c;
d6;2ff;309;d2c0;
d5;2fb;309;d868;
d5;2fd;307;de0c;
d4;2fd;30a;e3b0;
d2;2fd;30c;e954;
d1;2fe;30c;eefc;
d0;2fb;30a;f4a0;
cf;2fb;30c;fa44;
ce;2fd;309;ffe8;
cc;2fd;30b;590;
cc;2fa;30a;ae0;
ca;2fb;30a;1030;
ca;2fd;30b;15d4;
c8;2fd;30a;1b78;
c7;2fa;30a;211c;
c6;2fe;308;26c4;
c3;2fd;308;2c68;
c3;2fb;308;320c;
c1;2ff;308;37b0;
c0;2fc;307;3d58;
be;2fc;30a;42fc;
bd;2fd;309;48a0;
bb;2fc;308;4e44;
ba;2fc;309;53ec;
b8;2fe;30d;5990;
b7;2fc;309;5f34;
b5;2f9;308;64d8;
b4;2fc;30d;6a80;
b2;2fc;307;7024;
b1;2fa;30a;75c8;
ae;2fb;309;7b6c;
ad;2fc;30a;8114;
ab;2fe;30c;86b8;
aa;2fd;308;8c5c;
a8;2fa;306;9200;
a6;2f9;30a;97a8;
a4;2fb;30c;9d4c;
a2;2fb;306;a2f0;
a2;2fb;308;a894;
a0;2fd;305;ae3c;
9e;2fe;306;b3e0;
9c;2fc;308;b984;
9a;2fc;30a;bf28;
98;2fd;309;c4d0;
97;2fb;309;ca74;
94;2fe;307;d020;
92;2fc;308;d5bc;
91;2fb;30b;db64;
8f;2fd;30b;e108;
8e;2fc;30b;e6ac;
8c;2fe;30b;ec50;
89;2fe;309;f1f8;
88;2fd;309;f79c;
87;2fc;30a;fd40;
84;2fe;307;2e4;
83;2fd;309;834;
80;2fc;308;d84;
7f;2fe;309;12d4;
7d;2fc;30b;187c;
7b;2f9;30c;1e20;
7a;2fd;30c;23c4;
78;2fb;30a;2968;
76;2fa;30a;2f10;
73;2fe;309;34b4;
72;2fe;30b;3a58;
70;2fd;30c;3ffc;
6e;2fe;30b;45a4;
6c;2fe;30c;4b48;
6b;2fd;30d;50ec;
69;2fc;310;5690;
